plant_id_eia,max_mw,mean_mw,frac_off,ctypes,ttypes,n_cool,plant_name_eia,state,latitude,longitude,fuel
7844,45.0,0.7109517304189436,0.9821265938069217,,,,Minnesota River,MN,44.795231,-93.581013,gas
55505,136.0,31.782331511839708,0.5181010928961749,,,,Frank Knutson,CO,39.941129,-104.682015,gas
880041,,0.0,,,,,Ascend (Decatur Plant),AL,34.6339,-87.0244,
54751,40.0,12.926798724954462,0.0598816029143898,,,,Genesee Power Station LP,MI,43.08511,-83.669386,waste
55478,40.0,14.449112021857923,0.514344262295082,,,,Lange Gas Turbines,SD,44.1,-103.26,gas
65372,302.0,41.59301001821493,0.7782331511839709,,,,Mark One Power Station,TX,29.227109,-95.43076,gas
880100,,0.0,,,,,Ravenswood Steam Plant,NY,40.76,-73.75,
1384,331.0,57.45639799635701,0.7013888888888888,ON,MW,2.0,Cooper,KY,36.9981,-84.5919,coal
1391,783.0,425.19592440801455,0.0,,,,Louisiana 1,LA,30.4922,-91.1864,gas
6258,296.0,0.44205373406193077,0.9905510018214936,,,,Wilson,GA,33.137711,-81.748294,oil
55063,825.0,541.9544626593807,0.03312841530054645,RI,MW,1.0,Batesville Generation Facility,MS,34.3356,-89.9275,gas
57075,,0.0,,DC,MD,1.0,Ivanpah 3,CA,35.580833,-115.4825,solar
10621,95.0,2.0315346083788706,0.9714253187613844,,,,CH Resources Syracuse,NY,43.1,-76.2144,gas
10671,,0.0,,RI,MW,1.0,River Valley,OK,35.1931,-94.6458,coal
55641,1345.0,968.1976320582878,0.015141165755919854,RI,WD,1.0,Riverside Energy Center,WI,42.583056,-89.035833,gas
56326,485.0,198.51901183970855,0.2459016393442623,,,,Mustang Station Unit 4,TX,32.974554,-102.743607,gas
56349,509.0,360.0653460837887,0.0909608378870674,RI,MW,2.0,Quail Run Energy Center,TX,31.8414,-102.315,gas
2048,34.0,0.047244990892531875,0.9981785063752276,,,,Sweatt,MS,32.2925,-88.7461,gas
2167,1287.0,642.4238387978143,0.09289617486338798,ON,,2.0,New Madrid,MO,36.5147,-89.5617,coal
7552,191.0,87.91564207650273,0.38239981785063754,,,,SPA Cogen 3,CA,38.511,-121.4735,gas
55199,1403.0,26.349499089253186,0.9410291438979964,,,,Elwood Energy LLC,IL,41.4388,-88.1236,gas
55207,81.0,3.7222222222222223,0.8933287795992714,,,,Valmont Combustion Turbine Project,CO,40.0205,-105.2009,gas
55308,29.0,18.42554644808743,0.25956284153005466,,,,Calvert City,KY,37.048333,-88.353889,gas
7931,309.0,268.65459927140256,0.05931238615664845,RI,MW,1.0,Coyote Springs II,OR,45.848039,-119.673965,gas
7916,585.0,60.29189435336976,0.8098816029143898,,,,Talbot County Energy,GA,32.5892,-84.6917,gas
10789,544.0,344.2545537340619,0.12591074681238615,RI,MW,1.0,Sabine River Works,TX,30.0552,-93.7579,gas
55126,572.0,443.58652094717667,0.0017076502732240437,RI,MW,1.0,Milford Power Project,CT,41.224355,-73.099728,gas
55131,1302.0,544.6586976320583,0.271971766848816,RI,MW,2.0,Kendall County Generation Facility,IL,41.4797,-88.2581,gas
628,3414.0,1839.5245901639344,0.0,"RI,RN","NW,MW",4.0,Crystal River,FL,28.9656,-82.6977,gas
641,1638.0,337.21778233151184,0.06989981785063752,"ON,RI",MW,3.0,Crist,FL,30.5661,-87.2244,gas
7153,1008.0,202.22768670309654,0.5250455373406193,RI,MW,2.0,Hay Road,DE,39.7436,-75.5072,gas
55091,1724.0,740.4718806921676,0.286316029143898,DC,MD,6.0,Midlothian Energy Facility,TX,32.4302,-97.0537,gas
55101,76.0,28.136042805100182,0.5940346083788707,,,,Kalamazoo River Generating Station,MI,42.281345,-85.494956,gas
55279,922.0,43.51844262295082,0.8912795992714025,,,,Aurora,IL,41.8151,-88.2265,gas
60376,956.0,750.5045537340619,0.061247723132969036,RI,MW,1.0,"Clean Energy Future-Lordstown, LLC",OH,41.14889,-80.85162,gas
675,85.0,24.827185792349727,0.5348360655737705,,,,Larsen Memorial,FL,,-81.9228,gas
3476,352.0,39.126707650273225,0.626252276867031,OC,,1.0,Knox Lee,TX,32.3766,-94.6415,gas
3287,277.0,100.5922131147541,0.2321265938069217,ON,,1.0,McMeekin,SC,34.0556,-81.2172,gas
6193,1058.0,285.5461065573771,0.19626593806921674,RI,MW,3.0,Harrington,TX,35.29816,-101.747187,coal
124,76.0,0.3895719489981785,0.9894125683060109,,,,Demoss Petrie,AZ,32.252273,-110.992148,gas
160,480.0,276.29474043715845,0.0,RI,MW,2.0,Apache Station,AZ,32.0603,-109.8931,gas
