gww_id,name,reservoir,country,iso3,lat,lon,capacity_mw,latest_month,area_km2,area_anomaly,area_anomaly_3mo,precip_12mo_anomaly,pred_gen_anomaly,pred_gen_anomaly_lo,pred_gen_anomaly_hi,pred_gen_anomaly_3mo,has_generation_truth,confidence,match_method
79708,Feistritz-Ludmannsdorf,,Austria,AUT,46.5347,14.1712,88.0,2026-05,3.37,-0.049,-0.052,-0.008,-0.149,-0.444,0.121,-0.003,False,short residence time (weak area signal),hydrolakes_pour
86423,Long Lake,Little Falls Reservoir,USA,USA,47.834444,-117.836111,70.0,2026-05,19.9,0.003,0.045,0.067,0.044,-0.291,0.413,0.096,True,short residence time (weak area signal),gww_polygon
87540,BUENDIA 1,Buendia,Spain,ESP,40.398998,-2.784,55.0,2026-05,43.39,0.492,0.54,0.239,0.79,-0.436,1.918,0.731,False,carry-over storage (validated class),hydrolakes_pour
86482,Lois Lake,,Canada,CAN,49.7699,-124.317,37.0,2026-05,23.44,0.019,0.017,-0.044,-0.12,-0.51,0.361,-0.109,False,carry-over storage (validated class),hydrolakes_pour
81435,Chute-Allard,,Canada,CAN,47.8929,-73.7183,62.0,2026-05,4.49,0.074,0.182,0.114,0.196,-0.204,0.673,0.102,False,unknown residence time,gww_polygon
87555,NILO PEÇANHA,Lajes Reservoir,BRA,BRA,-22.68305556,-43.87333333,512.0,2026-05,24.92,-0.004,-0.011,-0.045,-0.176,-0.709,0.517,-0.153,True,carry-over storage (validated class),hydrolakes_pour
81592,French Landing Dam,,USA,USA,42.214264,-83.440692,1.6,2026-05,4.67,-0.008,0.037,0.023,0.104,-0.664,0.688,0.034,True,short residence time (weak area signal),hydrolakes_pour
79660,HÃ¥en,,Norway,NOR,63.113494,10.478311,30.0,2026-05,2.79,-0.261,-0.172,-0.212,-0.299,-0.663,0.058,-0.198,False,short residence time (weak area signal),hydrolakes_pour
87574,Jim-Gray,La Mothe,Canada,CAN,48.6987,-71.2125,63.0,2026-05,38.68,0.039,0.025,0.35,0.374,-0.124,0.81,0.221,False,unknown residence time,gww_polygon
79661,Swinging Bridge 2,,USA,USA,41.5717,-74.7828,13.0,2026-05,3.52,0.101,0.082,-0.149,0.08,-0.586,0.657,0.022,True,short residence time (weak area signal),hydrolakes_pour
87572,Nipawin,Tobin,Canada,CAN,53.321,-104.0431,255.0,2026-05,33.59,0.003,-0.114,0.111,0.089,-0.267,0.535,0.066,False,short residence time (weak area signal),gww_polygon
81571,Grytfors,,Sweden,SWE,65.295466,19.11352,37.0,2026-05,5.27,0.084,0.115,0.143,0.119,-0.325,0.629,0.089,False,short residence time (weak area signal),hydrolakes_pour
